sector,eval_date,n_expected,n_silent,sms_score
FDN,2011-08-31,14,7,0.49999999996428574
FDN,2011-09-30,11,7,0.6363636363057851
FDN,2011-11-30,6,1,0.16666666663888888
FDN,2011-12-31,8,1,0.124999999984375
FDN,2012-01-31,14,5,0.35714285711734695
FDN,2012-02-29,9,1,0.11111111109876542
FDN,2012-03-31,4,0,0.0
FDN,2012-05-31,7,0,0.0
FDN,2012-06-30,6,0,0.0
FDN,2012-07-31,6,1,0.16666666663888888
FDN,2012-08-31,5,1,0.19999999996
FDN,2012-09-30,4,0,0.0
FDN,2012-10-31,3,0,0.0
FDN,2012-11-30,5,3,0.59999999988
FDN,2012-12-31,4,2,0.499999999875
FDN,2013-04-30,4,0,0.0
FDN,2013-05-31,3,1,0.3333333332222222
HACK,2010-10-31,3,0,0.0
HACK,2011-06-30,5,1,0.19999999996
IBB,2007-02-28,6,1,0.16666666663888888
IBB,2007-03-31,6,0,0.0
IBB,2007-05-31,3,1,0.3333333332222222
IBB,2007-08-31,4,0,0.0
IBB,2007-09-30,5,0,0.0
IBB,2007-11-30,4,0,0.0
IBB,2008-03-31,5,0,0.0
IBB,2009-06-30,4,0,0.0
IBB,2009-08-31,5,1,0.19999999996
IBB,2009-12-31,3,1,0.3333333332222222
IBB,2010-02-28,4,1,0.2499999999375
IBB,2010-03-31,3,0,0.0
IBB,2010-08-31,3,0,0.0
IBB,2010-11-30,6,0,0.0
IBB,2011-01-31,3,0,0.0
IBB,2011-02-28,3,1,0.3333333332222222
IBB,2011-03-31,4,0,0.0
IBB,2011-10-31,6,0,0.0
IBB,2011-12-31,5,0,0.0
IBB,2013-09-30,3,0,0.0
IGV,2006-07-31,3,3,0.9999999996666666
IGV,2007-06-30,5,1,0.19999999996
IGV,2007-12-31,3,1,0.3333333332222222
IGV,2008-03-31,3,0,0.0
IGV,2008-04-30,8,0,0.0
IGV,2008-05-31,4,1,0.2499999999375
IGV,2010-06-30,3,0,0.0
IGV,2010-07-31,5,1,0.19999999996
IGV,2010-09-30,3,0,0.0
IGV,2010-11-30,5,3,0.59999999988
