source_id,source_name,candidate_id,candidate_name,score,source
edgar_c_574e6dd6a153,PIPER SANDLER COMPANIES,p:242461,piper leonard,0.8669,edgar
edgar_c_3d4f88839a24,Almonty Industries Inc.,c:211057,almondy,0.8492,edgar
edgar_c_2096de694279,Acushnet Holdings Corp.,c:64465,acumen holdings,0.9183,edgar
edgar_c_8f85d17b4ec3,OUTFRONT Media Inc.,c:37843,ourtown media,0.9192,edgar
edgar_c_ad52498b622d,Firefly Aerospace Inc.,c:265191,firefly computers,0.8866,edgar
edgar_c_553298abe574,Blue Owl Technology Finance Corp.,c:62468,blue cod technologies,0.8714,edgar
edgar_c_8d0fa89dd95e,"Floor & Decor Holdings, Inc.",c:233019,floop technologies,0.8833,edgar
edgar_c_9c5a950b2c37,LandBridge Co LLC,r:2030,lan bridger,0.8824,edgar
edgar_c_c4e83e987a1d,CRISPR Therapeutics AG,c:37253,crisp,0.8526,edgar
edgar_c_49031e80b5ae,"Boot Barn Holdings, Inc.",edgar_c_c54d2193bd1c,booking holdings,0.8735,edgar
edgar_c_b1f0992ad2a6,Alliance Laundry Holdings Inc.,c:194885,alliance organics,0.8698,edgar
edgar_c_f2d50483cf0f,"Remitly Global, Inc.",c:139213,remitly,0.9,edgar
edgar_c_5e127c740996,Legend Biotech Corp,c:12192,legent,0.8857,edgar
edgar_c_c0ac3d6a9189,"Victory Capital Holdings, Inc.",p:126004,victoria collins,0.8958,edgar
edgar_c_3150d8185a67,EquipmentShare.com Inc,c:194579,equipment spares,0.9154,edgar
edgar_c_38401840c342,"Dianthus Therapeutics, Inc. /DE/",p:11497,diana sutter,0.85,edgar
edgar_c_f3377bc5defe,PATTERSON UTI ENERGY INC,c:268225,pattern energy group,0.8763,edgar
edgar_c_d994342efe37,"CSW INDUSTRIALS, INC.",c:216979,csr india,0.8459,edgar
edgar_c_159bcb2dbfef,"MIAMI INTERNATIONAL HOLDINGS, INC.",c:59806,miami international university,0.9089,edgar
edgar_c_b6e7978fdef7,Orla Mining Ltd.,p:235308,orla rimmington,0.8921,edgar
edgar_c_ebd689ce4503,"Kiniksa Pharmaceuticals International, plc",c:271148,kinik,0.827,edgar
edgar_c_18d32900ed92,"Shift4 Payments, Inc.",c:256973,shift partners,0.9148,edgar
edgar_c_b35ad372b245,"Crinetics Pharmaceuticals, Inc.",c:44224,critical pharmaceuticals,0.8783,edgar
edgar_c_5ae480e1ca92,"Veradermics, Inc",c:191067,verai,0.8909,edgar
edgar_c_7104742a7101,MDA Space Ltd.,c:78053,mda,0.8444,edgar
edgar_c_00c276d2521c,GRIFFON CORP,c:259207,grifoo,0.9095,edgar
edgar_c_b409661f36af,"Helmerich & Payne, Inc.",p:217879,helmut panke,0.87,edgar
edgar_c_716d49fb608e,Waystar Holding Corp.,p:196955,waytao shing,0.9047,edgar
edgar_c_6b9c3433c115,"Oruka Therapeutics, Inc.",c:27354,oraya therapeutics,0.8907,edgar
edgar_c_61f9991e505f,"INDEPENDENCE REALTY TRUST, INC.",c:180345,independence australia,0.8984,edgar
edgar_c_e039b58343eb,UNITED COMMUNITY BANKS INC,c:50153,unite communications,0.9128,edgar
edgar_c_4f3e412ea581,"iRhythm Holdings, Inc.",c:23794,irhythm technologies,0.9042,edgar
edgar_c_481618e5e12e,NGEx Minerals Ltd.,r:17666,ngen email,0.8762,edgar
edgar_c_14b7b3947d48,"Broadstone Net Lease, Inc.",c:226599,broadslate networks,0.8679,edgar
edgar_c_bd7d5ae0d414,BANCFIRST CORP /OK/,c:209419,bancroft capital,0.8517,edgar
edgar_c_62804c6256d4,"Viking Therapeutics, Inc.",c:180917,viking rentals,0.8811,edgar
edgar_c_f59cfa287125,Howard Hughes Holdings Inc.,p:112274,howard goldstein,0.8905,edgar
edgar_c_d8255d0506c7,Navitas Semiconductor Corp,c:259274,navitas solutions,0.8793,edgar
edgar_c_9288ab72f050,"e.l.f. Beauty, Inc.",c:226254,elf aquitaine,0.8477,edgar
edgar_c_323d2e2d21ba,Skeena Resources Ltd,c:66168,skerou,0.8542,edgar
edgar_c_53eab47866c3,Allied Gold Corp,c:62571,allied worldwide,0.9068,edgar
edgar_c_9b3b8210cdca,BKV Corp,r:38568,bkr,0.8222,edgar
edgar_c_e27dead8fe15,"Hagerty, Inc.",p:99472,hal gentry,0.8819,edgar
edgar_c_879b37c206fb,AMERICOLD REALTY TRUST,c:192529,americold,0.8818,edgar
edgar_c_e69e725dcd0f,DENISON MINES CORP.,p:255298,denis ermolin,0.893,edgar
edgar_c_bf813faa0791,Neptune Insurance Holdings Inc.,c:255812,neptune orient lines,0.8685,edgar
edgar_c_7ffa52bd9c82,"Edgewise Therapeutics, Inc.",c:220560,edge therapeutics,0.8972,edgar
edgar_c_a2d4c9e275eb,"ACM Research, Inc.",c:9212,acm tech,0.8917,edgar
edgar_c_49870b39062e,"BREAD FINANCIAL HOLDINGS, INC.",c:271432,bread of healing clinic,0.8756,edgar
edgar_c_5aba1fdab213,PERPETUA RESOURCES CORP.,c:181530,perpetual west,0.8794,edgar
edgar_c_30643cc99723,"Option Care Health, Inc.",c:183426,optioncast,0.88,edgar
edgar_c_77644fa355cd,"CLEANSPARK, INC.",c:58760,clearpeak,0.9003,edgar
edgar_c_659db6bb4c26,WESBANCO INC,r:19411,wetsandcom,0.8867,edgar
edgar_c_ef8d1c0d2a9a,WORKIVA INC,r:39560,work visas,0.9114,edgar
edgar_c_4c53ea6cec2b,ALUMIS INC.,r:15688,albums,0.9111,edgar
edgar_c_8b018f3094de,"Chefs' Warehouse, Inc.",c:185883,chefs feed,0.8667,edgar
edgar_c_a55b26cbdaa7,"Erasca, Inc.",c:57873,erasmate,0.8917,edgar
edgar_c_e520f0607d91,PARK NATIONAL CORP /OH/,c:58603,parkat,0.875,edgar
edgar_c_ed1a7470fe62,Beam Therapeutics Inc.,c:44677,beam interactive,0.9001,edgar
edgar_c_1bdad68bbc77,NICOLET BANKSHARES INC,p:114944,nicole baker,0.9167,edgar
edgar_c_33eafff69360,Seadrill Ltd,p:168049,sean reilly,0.886,edgar
edgar_c_85c80a3eb026,"Upstart Holdings, Inc.",c:176174,upstart social,0.8964,edgar
edgar_c_95971a1cc49e,Structure Therapeutics Inc.,f:12507,structure,0.8818,edgar
edgar_c_741cf4bab099,eToro Group Ltd.,r:766,etoro,0.8909,edgar
edgar_c_f7d8a8954093,"DigitalBridge Group, Inc.",c:42889,digital brand group,0.9056,edgar
edgar_c_975c5138f3a2,"Black Stone Minerals, L.P.",f:1554,black diamond ventures,0.8702,edgar
edgar_c_c41f5994fed7,"Hamilton Insurance Group, Ltd.",c:247157,hamilton institute,0.8722,edgar
edgar_c_7af5b8d20f2c,Denali Therapeutics Inc.,c:251945,denali apps,0.8871,edgar
edgar_c_a7ec337c7aa4,"Arcutis Biotherapeutics, Inc.",c:219480,arcturus therapeutics,0.8697,edgar
edgar_c_c08b5bc92a90,"Dyne Therapeutics, Inc.",c:85316,dynemar interactive,0.8282,edgar
edgar_c_794080c1b0c4,Sezzle Inc.,c:146339,sezme,0.8756,edgar
edgar_c_e9e6728b6585,TMC the metals Co Inc.,c:82177,tmc interactive,0.8263,edgar
edgar_c_c3a68f02d070,"Amprius Technologies, Inc.",c:240943,amidray technologies,0.9043,edgar
edgar_c_f9de94cdd8e5,"NMI Holdings, Inc.",c:206294,nmi,0.825,edgar
edgar_c_f9c1c2606ad7,CECO ENVIRONMENTAL CORP,c:17036,ceo minerva,0.8357,edgar
edgar_c_61e3f9f9bd51,"10x Genomics, Inc.",c:231170,10x technologies,0.8517,edgar
edgar_c_e7af79d0456f,"Xometry, Inc.",c:30100,xojet,0.8324,edgar
edgar_c_e91bec5e66ac,FB Financial Corp,f:7410,fbr capital,0.8051,edgar
edgar_c_5000c0730c9e,"Braze, Inc.",c:185447,brane,0.9067,edgar
edgar_c_4dd98662c132,SOLENO THERAPEUTICS INC,c:153342,solace therapeutics,0.9028,edgar
edgar_c_5eebc18ea863,Pattern Group Inc.,c:268225,pattern energy group,0.9146,edgar
edgar_c_d1ba95de6c00,TALOS ENERGY INC.,edgar_c_a15706040d48,talen energy,0.8872,edgar
edgar_c_f8737eeeea8c,ENDEAVOUR SILVER CORP,c:32931,endeavour,0.9125,edgar
edgar_c_9144c7be6835,SILVERCORP METALS INC,r:36559,silvercore,0.9176,edgar
edgar_c_25fcdaf8e0b5,WAFD INC,c:252811,wafb,0.8833,edgar
edgar_c_259f7e401487,"StubHub Holdings, Inc.",c:2507,stubhub,0.8875,edgar
edgar_c_8ba53763800f,Aecon Group Inc.,f:7961,aedeas group,0.8384,edgar
edgar_c_a8e72a43f565,Kodiak Sciences Inc.,edgar_c_c40ce2f8803c,kodiak gas services,0.8717,edgar
edgar_c_9493400a3e1d,HAWAIIAN ELECTRIC INDUSTRIES INC,c:258257,hawaiian wireless,0.8775,edgar
edgar_c_cda8761c27ca,"Curaleaf Holdings, Inc.",c:249302,culinarts holding,0.854,edgar
edgar_c_4343a21ce9bb,GABELLI DIVIDEND & INCOME TRUST,f:11402,gabelli securities,0.8444,edgar
edgar_c_cf8e5ce71394,"Vera Therapeutics, Inc.",c:271820,vet therapeutics,0.8986,edgar
edgar_c_f00cec9d80ec,Trump Media & Technology Group Corp.,c:169680,trumedia,0.8571,edgar
edgar_c_78b84e5db7fc,"IDEAYA Biosciences, Inc.",c:18541,ideasapiens,0.8629,edgar
edgar_c_2a8c015dd273,"Enliven Therapeutics, Inc.",c:278874,envisia therapeutics,0.8808,edgar
edgar_c_66edd2ee7d13,Sigma Lithium Corp,c:41313,sigma,0.8769,edgar
edgar_c_dc954e0ac8fe,TASEKO MINES LTD,p:121356,tarek amin,0.8578,edgar
edgar_c_9c446feba966,"Bancorp, Inc.",c:183762,bancorpsouth,0.9167,edgar
