eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36,sms_score,n_expected,n_silent
2009-10-31,FDN,0.0564763716514413,0.11253910625558722,0.1990462995333113,0.22516551562226753,0.2074854790942045,0.19999999996,5,1
2009-11-30,FDN,0.0537379768259278,0.12038057557691821,0.19603606975924548,0.2152870648499546,0.19453262534934654,0.4999999999375,8,4
2009-12-31,FDN,0.0518362002326158,0.1291703650019992,0.19251309420442936,0.20558113377784198,0.1826713845318119,0.1428571428367347,7,1
2010-01-31,FDN,0.0473170476249881,0.1352089317798277,0.18661461109507607,0.19486326620197741,0.17079181952104538,0.2727272727024793,11,3
2010-02-28,FDN,0.045290250047536694,0.1424123429144431,0.18174591417647748,0.1853987837529191,0.1618244268969776,0.59999999988,5,3
2010-03-31,FDN,0.050510274290912,0.1424392558564776,0.1762660981087554,0.1776277064468818,0.15537053811584886,0.777777777691358,9,7
2010-04-30,FDN,0.0560627346041459,0.14256992788186998,0.1686891439708262,0.1686143207541058,0.1476708096895574,0.29999999997,10,3
2010-05-31,FDN,0.0666425987509904,0.1422980929333177,0.1615490880240268,0.1601379462175791,0.1409878933988883,0.3333333332222222,3,1
2010-06-30,FDN,0.0773341647693834,0.14067689397181357,0.1537449335452262,0.14893254193360217,0.1345723754160474,0.5555555554938272,9,5
2010-08-31,FDN,0.09712209286690641,0.13645566412894078,0.14010853370538243,0.13165057079105247,0.12272496326788229,0.24999999996875,8,2
2010-09-30,FDN,0.0919289815655656,0.1257558238178434,0.1271174321559698,0.11308495281603259,0.1148784440935222,0.0952380952335601,21,2
2010-11-30,FDN,0.0756554941823273,0.0949064892730364,0.09349534746658869,0.07415204977242829,0.0969066928415796,0.69999999993,10,7
2010-12-31,FDN,0.0633427292024302,0.0764107687758428,0.0715983771642188,0.05350101952981269,0.08554731032084299,0.3846153845857988,13,5
2011-01-31,FDN,0.0514056793152484,0.0596543344221497,0.0522526638088456,0.03558288774121769,0.07661869610087199,0.19999999996,5,1
2011-02-28,FDN,0.0393335712620344,0.042986440838476,0.034528477924146095,0.019412083982534495,0.06845869710277769,0.4285714285102041,7,3
2011-03-31,FDN,0.0338268422522778,0.0351884505904042,0.021155971250466993,0.012931282259371292,0.06972616487338179,0.22222222219753085,9,2
2011-04-30,FDN,0.026119216088956204,0.026044392872235794,0.008439179560893195,0.0051008818076873925,0.06724324197700139,0.3846153845857988,13,5
2011-05-31,FDN,0.019250995090709093,0.0178398532842614,-0.0015034444098990063,-0.0013101995344294067,0.06526052508244638,0.3599999999856,25,9
2011-07-31,FDN,0.008248655106901294,0.0008469844935971938,-0.015822791574030708,-0.010153423784953307,0.0560501076099446,0.36363636360330576,11,4
