eval_date,sector,alpha_k6,alpha_k12,alpha_k18,alpha_k24,alpha_k36
2011-05-31,IBB,-0.006383869666403252,0.12245221033421161,0.16233577384959508,0.2755060880373059,0.40398180775668124
2011-06-30,IBB,0.013542526561413082,0.14498893637686716,0.15244927927286522,0.26570421941090006,0.46396466892347166
2011-07-31,IBB,0.08305673966307137,0.16978720999217956,0.16623504982913473,0.3574049124838504,0.4607872042037183
2011-08-31,IBB,0.08506806536302491,0.18297802983160183,0.18769447223751878,0.38576033725672987,0.5429008670431217
2011-09-30,IBB,0.048536294767838495,0.1641229500088376,0.19197906513666918,0.39649729540112355,0.5062425418181021
2011-10-31,IBB,0.1306458621486698,0.16668656924752678,0.3082521853574466,0.3873274596281867,0.6247513991204866
2011-11-30,IBB,0.12883608000061486,0.16871964351599833,0.28188995770370917,0.40491629472241797,0.5773434694244798
2011-12-31,IBB,0.13144640981545408,0.13890675271145214,0.252161692849487,0.38050975381462016,0.5665880206053494
2012-01-31,IBB,0.08673047032910819,0.08317831016606336,0.27434817282077906,0.43475462456945735,0.5924042482709171
2012-02-29,IBB,0.09790996446857692,0.10262640687449387,0.30069227189370495,0.48153647892527074,0.602409755753109
2012-03-31,IBB,0.11558665524099909,0.14344277036883069,0.34796100063328506,0.36375158581328193,0.6321982868330699
2012-04-30,IBB,0.03604070709885698,0.17760632320877678,0.2566815974795169,0.30684120406069093,0.5699083586558471
2012-05-31,IBB,0.03988356351538347,0.1530538777030943,0.2760802147218031,0.28152959742246964,0.6084005866939552
2012-06-30,IBB,0.007460342895998062,0.1207152830340329,0.24906334399916608,0.3189757325466045,0.624680827487711
2012-07-31,IBB,-0.0035521601630448263,0.18761770249167087,0.34802415424034916,0.29099999421153877,0.6199582187320899
2012-08-31,IBB,0.004716442405916954,0.20278230742512804,0.3836265144566938,0.35992283721151985,0.5807760859969971
2012-09-30,IBB,0.027856115127831593,0.23237434539228596,0.24816493057228284,0.34211959180926454,0.4726594055636366
2012-10-31,IBB,0.1415656161099198,0.22064089038065993,0.27080049696183395,0.4580648298729598,0.5149680081999924
2012-11-30,IBB,0.11317031418771084,0.23619665120641964,0.24164603390708617,0.40862382590848145,0.4921772805584431
2012-12-31,IBB,0.11325494013803483,0.241603001103168,0.31151538965060643,0.42768126789389727,0.5399725686987108
2013-01-31,IBB,0.1911698626547157,0.351576314403394,0.2945521543745836,0.5092259381048537,0.3704417017841898
2013-02-28,IBB,0.19806586501921108,0.37891007205077687,0.3552063948056029,0.4997833488786151,0.3203156095448638
2013-03-31,IBB,0.20451823026445437,0.22030881544445124,0.31426347668143295,0.4887555164642392,0.2362044162360566
2013-04-30,IBB,0.07907527427074013,0.12923488085191415,0.31649921376304,0.3923020354470703,0.2013959605125093
2013-05-31,IBB,0.1230263370187088,0.12847571971937533,0.2954535117207706,0.45534670899086094,0.21038019488600512
2013-06-30,IBB,0.12834806096513318,0.1982604495125716,0.31442632775586243,0.5039655444536781,0.14469404261043828
2013-07-31,IBB,0.1604064517486783,0.1033822917198679,0.31805607545013803,0.432340516240419,0.14730480509230592
2013-08-31,IBB,0.18084420703156578,0.1571405297863918,0.301717483859404,0.3779937785718691,0.10724961037752279
2013-09-30,IBB,0.015790585179996874,0.10974524641697858,0.28423728619978483,0.24028506017135065,0.08750704160854239
2013-10-31,IBB,0.05015960658117402,0.2374239394922999,0.3132267611763302,0.2943271178193325,0.05867063104368586
2013-11-30,IBB,0.005449382700666527,0.17242717470206181,0.33232037197215214,0.2559806293520235,0.027513545914660598
2013-12-31,IBB,0.06991238854743842,0.18607826679072925,0.37561748348854496,0.2983695675955428,-0.011037604194687578
2014-01-31,IBB,-0.05702416002881039,0.15764962370145974,0.27193406449174073,0.018865387380795795,-0.09978193659504309
2014-02-28,IBB,-0.02370367724517397,0.12087327682783822,0.19714957154030333,-0.05859446250591305,-0.09992619644374112
2014-03-31,IBB,0.0939546612369817,0.26844670101978796,0.22449447499135378,0.015895600791605347,-0.0003289747888706174
2014-04-30,IBB,0.18726433291112587,0.26306715459515617,0.2441675112381585,0.07216107966059515,0.03871383259323191
2014-05-31,IBB,0.1669777920013953,0.3268709892714856,0.25053124665135695,0.0819044751666298,-0.03270472230220001
2014-06-30,IBB,0.11616587824329083,0.30570509494110654,0.22845717904810436,-0.05356640690213332,-0.006065276923538865
2014-07-31,IBB,0.21467378373027013,0.3289582245205511,0.07588954740960618,0.04392251337243802,0.011938978986433924
2014-08-31,IBB,0.1445769540730122,0.2208532487854773,-0.03489078526073908,-0.04989091940886903,-0.009365479298078627
2014-09-30,IBB,0.17449203978280625,0.13053981375437207,-0.07805906044537636,-0.02223820480843619,-0.0315825243900848
2014-10-31,IBB,0.0758028216840303,0.05690317832703262,-0.11510325325053072,-0.17875330844861403,-0.17397211268559654
2014-11-30,IBB,0.15989319727009033,0.08355345464996167,-0.08507331683476549,-0.14491362878740122,-0.19658072119737124
2014-12-31,IBB,0.1895392166978157,0.11229130080481353,-0.16973228514542416,-0.19711587098541683,-0.1953538387993402
2015-01-31,IBB,0.114284440790281,-0.13878423632066395,-0.1707512703578321,-0.2574315602965028,-0.2719935625626675
2015-02-28,IBB,0.07627629471246511,-0.17946773933375126,-0.19446787348188121,-0.22079947327157934,-0.2812068587979034
2015-03-31,IBB,-0.04395222602843418,-0.2525511002281826,-0.19673024459124244,-0.2687756758086586,-0.3000555855101963
2015-04-30,IBB,-0.018899643356997675,-0.19090607493456102,-0.25455613013264433,-0.22435332200192426,-0.2954082576483509
2015-05-31,IBB,-0.07633974262012866,-0.24496651410485581,-0.30480682605749154,-0.3595757115736856,-0.3545694761200292
2015-06-30,IBB,-0.07724791589300217,-0.35927150184323986,-0.38665508768323253,-0.3117703718646454,-0.3790397900105609
2015-07-31,IBB,-0.25306867711094494,-0.2850357111481131,-0.3717160010867838,-0.3170192455341172,-0.36784871819672116
2015-08-31,IBB,-0.2557440340462164,-0.2707441681943463,-0.29707576798404445,-0.23021872808355592,-0.3058087079659171
