investor,tps,portfolio_size,n_top_tier_connections,sms_score
Climate Change Capital,1.0,1,1,0.75
Elron Electronic Industries,1.0,1,1,0.75
Stewart Butterfield,1.0,4,4,0.0
Tapit Partners,1.0,2,2,0.5
Troika Dialog,1.0,3,3,0.25
Real World Holdings,1.0,1,1,0.75
Fidelity Investments,1.0,3,3,0.25
Humphrey Enterprises,1.0,3,3,0.25
Thomas Weisel Venture Partners,1.0,3,3,0.25
Jim Barnett,1.0,3,3,0.25
Meritech Capital Partners,1.0,3,3,0.25
TTP Capital Advisors (Japan),1.0,1,1,0.75
Arthur Samberg,1.0,1,1,0.75
Jeff Samberg,1.0,4,4,0.0
Curious Office Partners,1.0,4,4,0.0
Blue Water Capital,1.0,1,1,0.75
Andrew Anker,1.0,2,2,0.5
Mike Homer,1.0,2,2,0.5
ACE Management,1.0,2,2,0.5
Demeter Partners,1.0,1,1,0.75
GP BullHound Sidecar,1.0,4,4,0.0
HMS Ventures,1.0,1,1,0.75
JLA Ventures,1.0,2,2,0.5
Mosaic Venture Partners,1.0,3,3,0.25
Raptor Ventures,1.0,1,1,0.75
Robert Goldberg,1.0,1,1,0.75
Sunil Paul,1.0,1,1,0.75
Caufield Angel Fund,1.0,1,1,0.75
Wilson Sonsini,1.0,1,1,0.75
North Bay Angels,1.0,1,1,0.75
SCF Arizona,1.0,1,1,0.75
Kristian Andersen,1.0,2,2,0.5
KKR,1.0,1,1,0.75
Roche Venture Fund,1.0,3,3,0.25
IRIS Software Group,1.0,1,1,0.75
Access,1.0,1,1,0.75
Aplix Corp,1.0,1,1,0.75
Mizuho Venture Capital,1.0,1,1,0.75
Nomura Securities,1.0,1,1,0.75
Tokio Marine Capital,1.0,1,1,0.75
Northwater Capital,1.0,1,1,0.75
Mark Kvamme,1.0,1,1,0.75
TMT,1.0,1,1,0.75
General Atlantic,1.0,1,1,0.75
Ardour Capital Investments,1.0,2,2,0.5
Information Capital LLC,1.0,3,3,0.25
Joel B. Braunstein,1.0,1,1,0.75
Polar Capital Group,1.0,1,1,0.75
Russell Simmons,1.0,1,1,0.75
CM-CIC Capital PrivÃÂ©,1.0,1,1,0.75
ACE & Company,1.0,2,2,0.5
Start Fund,1.0,3,3,0.25
SCP Worldwide,1.0,2,2,0.5
Jake Nickell,1.0,2,2,0.5
Starz Media,1.0,2,2,0.5
la Caixa,1.0,1,1,0.75
Alexandra Investment Management,1.0,1,1,0.75
Bill Bradley,1.0,1,1,0.75
KVK,1.0,1,1,0.75
Lu Pat Ng,1.0,1,1,0.75
Murat Vargi,1.0,1,1,0.75
Pentti Kouri,1.0,1,1,0.75
Hanna Ventures,1.0,4,4,0.0
Entree Capital,1.0,1,1,0.75
Paul Kagan,1.0,2,2,0.5
NBC Universal,1.0,3,3,0.25
David Lawee,1.0,2,2,0.5
Michael Abbott,1.0,2,2,0.5
Nils Johnson,1.0,2,2,0.5
Patrick Pohlen,1.0,2,2,0.5
Steve Chen,1.0,2,2,0.5
Thomas Layton,1.0,4,4,0.0
LRG Capital Group,1.0,1,1,0.75
Jim Hornthal,1.0,4,4,0.0
Peterson Ventures,1.0,1,1,0.75
Gigi Brisson,1.0,2,2,0.5
Brightspark Ventures,1.0,2,2,0.5
Brad Gerstner,1.0,3,3,0.25
LaunchTime,1.0,4,4,0.0
Cross Creek Capital,1.0,4,4,0.0
Pike Capital Partners,1.0,1,1,0.75
Prudence Holdings,1.0,1,1,0.75
Ohad Eder-Pressman,1.0,3,3,0.25
Peter Kirwan,1.0,3,3,0.25
Roger Sippl,1.0,3,3,0.25
Horizon Ventures,1.0,2,2,0.5
Iris Ventures,1.0,3,3,0.25
Inveready  Technology Investment Group,1.0,1,1,0.75
InversiÃÂ³n y GestiÃÂ³n de Capital Riesgo de AndalucÃÂ­a,1.0,1,1,0.75
Capitol Broadcasting Company,1.0,2,2,0.5
Andy Fruchter,1.0,1,1,0.75
Ehud Hillman,1.0,1,1,0.75
Idan Ofer,1.0,1,1,0.75
Josh James,1.0,2,2,0.5
Glilot Capital Partners,1.0,2,2,0.5
Josh Coates,1.0,3,3,0.25
RONAholdings,1.0,4,4,0.0
Arcapita Ventures,1.0,3,3,0.25
Vesbridge Partners,1.0,4,4,0.0
Marker,1.0,1,1,0.75
Perot Investments,1.0,1,1,0.75
GrowthWorks Atlantic Venture Fund,1.0,1,1,0.75
New Brunswick Innovation Foundation,1.0,1,1,0.75
Georges Harik,1.0,1,1,0.75
Eqvitec Partners Oy,1.0,2,2,0.5
Garage Technology Ventures Canada,1.0,2,2,0.5
Landis Capital,1.0,4,4,0.0
The Hit Forge,1.0,2,2,0.5
Gary Clayton,1.0,3,3,0.25
Jateen Parekh,1.0,3,3,0.25
Jeff Cavins,1.0,3,3,0.25
Manny Rivelo,1.0,3,3,0.25
Michael Dougherty,1.0,3,3,0.25
Paul Noglows,1.0,3,3,0.25
Peter Sperling,1.0,3,3,0.25
Romi Mahajan,1.0,3,3,0.25
Sanu Desai,1.0,3,3,0.25
Joel Hyatt,1.0,4,4,0.0
Aaron Levie,1.0,2,2,0.5
Dylan Smith,1.0,2,2,0.5
21Ventures,1.0,1,1,0.75
Version One Ventures,1.0,4,4,0.0
Eduardo Saverin,1.0,3,3,0.25
Venrex Investment Management,1.0,2,2,0.5
Iggy Fanlo,1.0,1,1,0.75
Kanwal Rekhi,1.0,3,3,0.25
Jason Kiefer,1.0,3,3,0.25
Jeff Carter,1.0,3,3,0.25
Pat Ryan Jr,1.0,3,3,0.25
Angels + Founder,1.0,3,3,0.25
NetApp,1.0,2,2,0.5
Various,1.0,2,2,0.5
Banexi Ventures,1.0,1,1,0.75
DG Incubation,1.0,1,1,0.75
Daniel Gillett,1.0,1,1,0.75
Investment AB ÃÂresund,1.0,1,1,0.75
NIF Ventures,1.0,2,2,0.5
Osman Rashid,1.0,3,3,0.25
Eilon Tirosh,1.0,3,3,0.25
Michael E. Kolowich,1.0,1,1,0.75
2C3i,1.0,3,3,0.25
Chelsfield Partners,1.0,3,3,0.25
Elliot Bernerd,1.0,3,3,0.25
Japan Ventures,1.0,3,3,0.25
O.D. Kobo,1.0,3,3,0.25
Prime Minister of Qatar -Sheikh Hamad bin Jassim bin Jaber Al Thani,1.0,3,3,0.25
Rahman Abdul El Assir,1.0,3,3,0.25
Alafi Capital,1.0,1,1,0.75
BRED Banque,1.0,2,2,0.5
Ed Park,1.0,4,4,0.0
Gerson Lehrman Group,1.0,4,4,0.0
James Golden,1.0,4,4,0.0
John Goldsmith,1.0,4,4,0.0
Jonathan Bush,1.0,4,4,0.0
Shoreline Venture Management,1.0,1,1,0.75
Technion Seed,1.0,3,3,0.25
Bronze Investments,1.0,3,3,0.25
Garry Tan,1.0,3,3,0.25
AME Cloud Ventures,1.0,2,2,0.5
Partner Innovation Fund,1.0,1,1,0.75
Greenangel Energy,1.0,2,2,0.5
PrairieGold Venture Partners,1.0,3,3,0.25
Canopy Ventures,1.0,2,2,0.5
Ed Zimmerman,1.0,3,3,0.25
Geoff Vuleta,1.0,3,3,0.25
3TS Capital Partners,1.0,3,3,0.25
Hillcrest Management,1.0,2,2,0.5
Gemini Israel Ventures,1.0,2,2,0.5
Solstice Capital,1.0,1,1,0.75
Terawatt Ventures,1.0,1,1,0.75
Windham Venture Partners,1.0,1,1,0.75
Heidelberg Innovation,1.0,2,2,0.5
Mannheim Holdings,1.0,2,2,0.5
Anthos Capital,1.0,1,1,0.75
IA Capital Partners,1.0,4,4,0.0
Kalaari Capital,1.0,2,2,0.5
Global Environment Fund Management,1.0,1,1,0.75
Competitor Group,1.0,1,1,0.75
The Running Company,1.0,1,1,0.75
Twilight Venture Partners,1.0,2,2,0.5
Atlas Accelerator,1.0,2,2,0.5
Revel Partners,1.0,1,1,0.75
DEFTA Partners,1.0,3,3,0.25
G-51 Capital,1.0,3,3,0.25
Cape Family Fund,1.0,4,4,0.0
Lansing Brown Investments,1.0,4,4,0.0
Brainspark,1.0,1,1,0.75
INTEC IT Capital,1.0,1,1,0.75
Mitsui Sumitomo Insurance Venture Capital,1.0,1,1,0.75
SMBC Venture Capital,1.0,1,1,0.75
Sansei Capital Investment,1.0,1,1,0.75
ngi group,1.0,1,1,0.75
AWE net,1.0,1,1,0.75
Freeze L.L.C,1.0,1,1,0.75
TNP,1.0,1,1,0.75
Tata Capital,1.0,1,1,0.75
Yaletown Venture Partners,1.0,2,2,0.5
Los Angeles Times Media Group,1.0,1,1,0.75
TechFund,1.0,1,1,0.75
Vast Ventures,1.0,2,2,0.5
