investor,deg_in,deg_out,betweenness,eigenvector,out_deg_wt,tps,portfolio_size,rank_deg_out,rank_betweenness,rank_eigenvector,rank_tps,rank_divergence
Jeffrey Jordan,0.0,0.01090909090909091,0.0,6.450860072587633e-20,3.3456,0.3640343382135843,3.0,56,644,931,108,52
betaworks,0.0,0.012727272727272728,0.0,6.450860072587633e-20,5.5687999999999995,0.3623892391308764,37.0,39,644,931,109,70
Mark Pincus,0.0,0.004545454545454545,0.0,6.450860072587633e-20,4.1495,0.3616296663417684,9.0,250,644,931,110,140
Travis Kalanick,0.006363636363636364,0.00909090909090909,0.00553298466925546,0.009573592434677265,6.880699999999999,0.358349164731238,4.0,83,86,258,111,28
Aaron Patzer,0.0,0.004545454545454545,0.0,6.450860072587633e-20,2.6305,0.3523915799892593,3.0,250,644,931,112,138
Ooga Labs,0.0027272727272727275,0.0,0.0,0.01026110596872164,0.0,0.3496508066743135,5.0,934,644,249,113,821
Bill Bryant,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.413,0.3481210053223064,2.0,575,644,931,114,461
MSD Capital,0.0018181818181818182,0.0036363636363636364,0.0,0.0014569064415452168,2.1852,0.3444761764796478,1.0,319,644,448,115,204
Kevin Compton,0.0,0.01090909090909091,0.0,6.450860072587633e-20,3.3456,0.3422882315709647,3.0,56,644,931,116,60
Doug Mackenzie,0.0,0.01090909090909091,0.0,6.450860072587633e-20,3.3456,0.3422882315709647,3.0,56,644,931,116,60
Social Leverage,0.0009090909090909091,0.012727272727272728,0.0007182779286660232,0.000356295726367669,11.0311,0.3306147470682827,12.0,39,154,505,118,79
Cambridge Capital Group,0.005454545454545455,0.005454545454545455,0.0,3.047718917351348e-10,3.5556,0.3296197777530287,3.0,192,644,565,119,73
Ron Conway,0.006363636363636364,0.01090909090909091,0.0007631702992076496,0.01135311171578378,7.8441,0.3276798972596333,67.0,56,150,242,120,64
Garrett Camp,0.0,0.004545454545454545,0.0,6.450860072587633e-20,2.6305,0.3259961783572727,3.0,250,644,931,121,129
Tango,0.0,0.01,0.0,6.450860072587633e-20,9.0216,0.3252575509917251,3.0,70,644,931,122,52
Adam D'Angelo,0.007272727272727273,0.0,0.0,0.001556728405833004,0.0,0.3234411571103057,5.0,934,644,440,123,811
Clal Industries and Investments (CII),0.0027272727272727275,0.0036363636363636364,0.0,0.00014948909774372023,2.0132,0.3173226673322863,1.0,319,644,533,124,195
Dharmesh Shah,0.006363636363636364,0.01,0.008361204013377926,0.005800544624287245,7.4847,0.3155622377703025,10.0,70,64,318,125,55
Atomico,0.005454545454545455,0.007272727272727273,0.0014590020426028597,0.030188067309728114,4.5442,0.3153598028972675,24.0,119,138,113,126,7
Geoff Ralston,0.0,0.005454545454545455,0.0,6.450860072587633e-20,4.542,0.3109729329929885,6.0,192,644,931,127,65
Roger Ehrenberg,0.0,0.004545454545454545,0.0,6.450860072587633e-20,4.1495,0.3105484317841361,9.0,250,644,931,128,122
Paige Craig,0.006363636363636364,0.006363636363636364,0.0,0.009573592434677265,4.766299999999999,0.3039512066648477,9.0,144,644,258,129,15
Ben Horowitz,0.0,0.012727272727272728,0.0,6.450860072587633e-20,4.4266,0.3028343406469109,7.0,39,644,931,130,91
David Lee,0.0,0.005454545454545455,0.0,6.450860072587633e-20,3.4836,0.298975353688384,5.0,192,644,931,131,61
Marc Benioff,0.0036363636363636364,0.01090909090909091,0.0030302350115597853,0.057322484351491794,8.1114,0.295646413951314,19.0,56,116,42,132,76
Gary Vaynerchuk,0.0,0.0009090909090909091,0.0,6.450860072587633e-20,0.619,0.2944772017796292,10.0,710,644,931,133,577
Mitch Kapor,0.0,0.006363636363636364,0.0,6.450860072587633e-20,5.4902,0.2940987273793203,16.0,144,644,931,134,10
Alex Zubillaga,0.0018181818181818182,0.0,0.0,0.015625024712865997,0.0,0.2933299596972206,10.0,934,644,194,135,799
Comerica Bank,0.0018181818181818182,0.0,0.0,0.00017824790435893082,0.0,0.2915654949179139,4.0,934,644,528,136,798
Chris Hughes,0.0,0.0018181818181818182,0.0,6.450860072587633e-20,1.3764,0.2855194399240077,2.0,575,644,931,137,438
Bill Harris,0.0,0.0027272727272727275,0.0,6.450860072587633e-20,1.5732,0.285425031077117,1.0,429,644,931,138,291
