investor,tps_raw,top_tier_targets,companies_hit,portfolio_size,tps,out_degree
Fritz Demopoulos,0.7782526026530192,3,1,1,0.7782526026530192,1.6949999999999998
The Chernin Group,1.5488759258548341,9,1,2,0.7744379629274171,7.2216000000000005
Jeff Weiner,3.0911144000523207,10,3,4,0.7727786000130802,6.5861
"Kapor Enterprises, Inc.",0.7720160811485176,5,1,1,0.7720160811485176,4.0152
Ron Zuckerman,0.7685002686116189,1,1,1,0.7685002686116189,0.7991
John Johnson,0.7617265251608414,7,1,1,0.7617265251608414,4.0306
Roger Evans,0.7606096308661405,2,1,1,0.7606096308661405,1.1282
Bill Gurley,0.7606096308661405,2,1,1,0.7606096308661405,1.1282
Angel Investment Partners,0.7540838922664399,4,1,1,0.7540838922664399,2.3085
Brian O'Kelley,1.5001371463677835,6,2,2,0.7500685731838918,3.42
Thomas D. Lehrman,2.203796748770315,22,3,3,0.7345989162567718,17.0111
Russell Simmons,0.7309450186976898,1,1,1,0.7309450186976898,0.7601
Al Avery,0.7269231224657602,2,1,1,0.7269231224657602,1.4096
Jay Gould,1.4307752955589246,12,2,2,0.7153876477794623,8.061
Kevin Rose,4.949615964594622,16,3,7,0.7070879949420888,10.9362
Pete Grillo,0.6976552787158283,3,1,1,0.6976552787158283,2.4252000000000002
Schoffstall Ventures,0.696399115486838,3,1,1,0.696399115486838,2.1687
Julie Davidson,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Mike Tatum,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Cooley LLP,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Om Malik,0.6963113693155809,6,1,1,0.6963113693155809,3.7691999999999997
Jonathan Heiliger,1.391340998432485,4,1,2,0.6956704992162425,3.0832
Neoteny Labs,1.391340998432485,4,1,2,0.6956704992162425,3.0832
David Shen,0.6905190608967728,9,1,1,0.6905190608967728,3.9231000000000003
reinmkr capital,0.6893256007306051,2,1,1,0.6893256007306051,1.7273999999999998
Incubator at Rose Tech Ventures,0.6858829866448807,2,1,1,0.6858829866448807,3.407
Karl Jacob,2.7345705071614583,10,2,4,0.6836426267903646,7.3266
Roelof Botha,0.6778192389819977,2,1,1,0.6778192389819977,1.6638
Tony Bates,0.6778192389819977,2,1,1,0.6778192389819977,1.6638
KPCB Holdings,2.0254756686433613,12,1,3,0.6751585562144538,10.3487
Chris Kelly,2.6802790109905277,9,1,4,0.6700697527476319,5.814
Science,1.995610235018161,9,2,3,0.6652034116727203,6.127800000000001
Stephens Capital Partners,0.6624714231048142,2,1,1,0.6624714231048142,3.3224
Lee Hower,1.3007828122254348,7,1,2,0.6503914061127174,2.7992999999999997
Jason Finger,5.167833687561865,22,5,8,0.6459792109452331,19.7261
Jack Dorsey,3.844256407248836,20,4,6,0.6407094012081394,14.1906
Peter Hershberg,3.187065691412626,18,4,5,0.6374131382825252,11.5278
VMware,1.8864533764148965,5,2,3,0.6288177921382988,4.029
Martin Sinner,1.2524299809645327,6,1,2,0.6262149904822664,3.8952
Simon Levene,1.2524299809645327,6,1,2,0.6262149904822664,3.8952
David Magliano,0.621574881387286,2,1,1,0.621574881387286,2.0409
Ed Zimmerman,1.2381107604957269,3,1,2,0.6190553802478634,1.7985000000000002
Bill Bishop,0.6121455364119208,2,1,1,0.6121455364119208,1.5016
Eric Bolling,0.6121455364119208,2,1,1,0.6121455364119208,1.5016
John Thompson,1.8006376035767226,9,2,3,0.6002125345255742,6.1364
Biz Stone,1.19794861288315,8,2,2,0.598974306441575,5.1684
Oklahoma Life Science Fund,0.5968116259083673,3,1,1,0.5968116259083673,2.3199
Maynard Webb,2.3652925609647357,13,3,4,0.5913231402411839,8.3338
Sean Park,1.178692889667837,9,1,2,0.5893464448339185,2.872
The Washington Post Company,1.7676997100365248,5,1,3,0.5892332366788416,3.7230000000000003
Jeremy Wenokur,0.5847926839082809,6,1,1,0.5847926839082809,4.9146
David DesJardins,0.5847926839082809,6,1,1,0.5847926839082809,4.9146
Stan Chudnovsky,1.7482540333715675,4,1,3,0.5827513444571891,3.2952
Bill Campbell,1.7315888541849436,5,1,3,0.5771962847283145,2.467
Youniversity Ventures,1.151588617571225,6,1,2,0.5757943087856126,4.8582
Ignition Venture Management,1.1462425377175003,4,1,2,0.5731212688587501,3.5188
Fred Seibert,0.5680201775038182,2,1,1,0.5680201775038182,1.4316
Howard A. Brown,0.5672417229412766,1,1,1,0.5672417229412766,0.8987
Shawn Fanning,2.2498912769391364,6,2,4,0.5624728192347841,4.6944
Scott Marlette,0.5558872815439024,2,1,1,0.5558872815439024,1.3764
Jim Pitkow,1.1081087167039403,9,2,2,0.5540543583519701,7.1329
Tom McInerney,4.931126309448767,22,3,9,0.5479029232720852,17.7397
Joi Ito,2.736790893575209,10,2,5,0.5473581787150418,6.611800000000001
Proxima Ventures Ltd,0.5467530462305281,3,1,1,0.5467530462305281,1.4104
Alfred Lin,1.0932688250866511,6,1,2,0.5466344125433256,4.7052
Geolo Capital,0.5379339978746414,2,1,1,0.5379339978746414,1.677
The Cross Country Group,0.5379339978746414,2,1,1,0.5379339978746414,1.677
Don Dodge,2.6802790109905277,9,1,5,0.5360558021981056,5.814
Josh Spear,2.6802790109905277,9,1,5,0.5360558021981056,5.814
Ben Ling,4.819467378640802,13,3,9,0.5354963754045335,10.1233
Elliot Ng,0.5345408668261985,2,1,1,0.5345408668261985,1.1564
Caterina Fake,3.20184237067961,5,3,6,0.5336403951132683,5.1564
Bob Bickel,0.529597343104079,2,1,1,0.529597343104079,1.6448
Marc Fleury,0.529597343104079,2,1,1,0.529597343104079,1.6448
VeraSun Energy,0.5271786911876417,3,1,1,0.5271786911876417,2.0511
Leonard Lodish,0.5236301359864015,1,1,1,0.5236301359864015,1.3752
Osman Rashid,0.5235818653927172,3,1,1,0.5235818653927172,2.031
Richard Mishaan,0.5217969904626508,5,1,1,0.5217969904626508,3.5149999999999997
William M. Smith,0.5217969904626508,5,1,1,0.5217969904626508,3.5149999999999997
Graph Ventures,1.561836886731377,3,1,3,0.5206122955771256,2.5941
Rupert Pennant-Rea,0.5189061722983378,3,1,1,0.5189061722983378,1.0773
Mark Shuttleworth,0.5189061722983378,3,1,1,0.5189061722983378,1.0773
Paul Longhenry,0.5154984685776115,3,1,1,0.5154984685776115,2.3181000000000003
Grail Partners,0.5154984685776115,3,1,1,0.5154984685776115,2.3181000000000003
Grauer Brothers Capital,0.5154984685776115,3,1,1,0.5154984685776115,2.3181000000000003
Anand Rajaraman,2.047174559442896,5,2,4,0.511793639860724,3.7672
Chengwei Capital,1.525441597296164,4,2,3,0.5084805324320546,3.174
Asus,0.5078482685452008,5,1,1,0.5078482685452008,6.2964
Dave Morgan,2.0297260959085817,8,2,4,0.5074315239771454,5.3445
Mike Olson,0.5069631998018975,2,1,1,0.5069631998018975,2.0747999999999998
Allen Morgan,2.0254756686433613,12,1,4,0.5063689171608403,9.7164
Bear Creek Capital,0.5062149384445249,4,1,1,0.5062149384445249,3.2416
Michael Parekh,5.052270661543328,23,6,10,0.5052270661543328,17.5354
Zelkova Ventures,7.003916185397775,42,8,14,0.5002797275284124,37.2148
Eric Stein,0.9955649757413723,17,1,2,0.49778248787068613,13.6306
K9 Ventures,2.484613755686816,12,3,5,0.49692275113736323,8.0304
Steven Singh,0.9932395248743514,6,1,2,0.4966197624371757,3.4836
John Pestana,0.9932395248743514,6,1,2,0.4966197624371757,3.4836
Mark Gorenberg,0.9932395248743514,6,1,2,0.4966197624371757,3.4836
Richard Brennan,0.988859333259086,3,1,2,0.494429666629543,4.1482
Nick Hynes,0.988859333259086,3,1,2,0.494429666629543,3.5556
Jim Larrison,0.49432637601885865,4,1,1,0.49432637601885865,2.6204
New York Times,4.4144136921656845,7,3,9,0.4904904102406316,10.4135
Thomas Layton,0.9800353700705526,2,1,2,0.4900176850352763,1.7322
Dennis Crowley,1.462065881015694,8,2,3,0.48735529367189795,4.789199999999999
Milcom Ventures Partners,0.48306328572289253,2,1,1,0.48306328572289253,3.7212
Millennium Technology Value Partners,0.4811936592391511,3,1,1,0.4811936592391511,1.7090999999999998
Reid Hoffman,13.456218764160916,37,16,28,0.4805792415771756,35.3611
Hillcrest Management,0.4783151621127557,2,1,1,0.4783151621127557,1.7152
Matt Gilbert,0.4780836625142634,2,1,1,0.4780836625142634,2.2266
Doug Lebda,0.47797906634789267,3,1,1,0.47797906634789267,1.6758
Bob Pasker,2.8536417186261125,9,3,6,0.4756069531043521,8.049
Royal Bank of Scotland,0.47480624072203503,3,1,1,0.47480624072203503,2.2578
Albert Wenger,0.9491594823832086,2,2,2,0.4745797411916043,2.3828
Trinity,0.4736021665516369,3,1,1,0.4736021665516369,3.554
Gary Griffiths,0.4736021665516369,3,1,1,0.4736021665516369,2.6654999999999998
Benchmark Capital / Balderton Capital,0.4736021665516369,3,1,1,0.4736021665516369,3.554
Jack Abraham,1.4114742504319377,3,1,3,0.47049141681064593,2.6457
Brian Shin,0.4676295521933208,2,1,1,0.4676295521933208,1.618
MkII Ventures,0.46676748861881495,5,1,1,0.46676748861881495,2.6305
SeriesG,0.46676748861881495,5,1,1,0.46676748861881495,2.6305
Bob Pittman,6.027276459287557,34,7,13,0.46363665071442745,26.2891
Amos Wilnai,0.4533006321667596,1,1,1,0.4533006321667596,2.8728
Oren Dobronsky,0.4533006321667596,1,1,1,0.4533006321667596,3.5909999999999997
Erik Blachford,3.6231018259749184,19,4,8,0.4528877282468648,12.3372
Brad Feld,2.712361164854597,11,1,6,0.45206019414243287,9.341199999999999
Bruce Dunlevie,0.4509161817169496,4,1,1,0.4509161817169496,3.3456
Tom Keller,0.9011194266769682,6,1,2,0.4505597133384841,3.1878
Coriolis Ventures,2.250326460480592,7,3,5,0.45006529209611845,6.5564
The Contrarian Group,0.899510070920694,5,2,2,0.449755035460347,4.5156
TDFunds,0.44212282589672675,5,1,1,0.44212282589672675,2.872
Blue Lagoon Capital,0.44212282589672675,5,1,1,0.44212282589672675,2.872
Ashton Kutcher,6.6190740923757145,22,4,15,0.44127160615838096,17.4764
Jonathan Gay,0.4399487653199578,1,1,1,0.4399487653199578,1.1554
Rob Burgiss,0.4399487653199578,1,1,1,0.4399487653199578,1.1554
Philip Kaplan,1.7482540333715675,4,1,4,0.43706350834289187,3.2952
James Currier,1.7482540333715675,4,1,4,0.43706350834289187,3.2952
Marc Andreessen,8.720397586830526,29,10,20,0.4360198793415263,26.7775
Venrex Investment Management,0.8708106464915272,2,1,2,0.4354053232457636,1.2118
Mendel Rosenblum,0.8694348822650066,3,1,2,0.4347174411325033,2.986
Hercules Technology Growth Capital,0.8675735413264303,3,1,2,0.43378677066321514,2.223
James Altucher,1.7261818842982313,14,2,4,0.4315454710745578,8.5085
Red Hat,0.8616332894736554,5,1,2,0.4308166447368277,3.8600000000000003
J Allard,0.42609582554033915,1,1,1,0.42609582554033915,0.8171
John Goldsmith,0.42078296797247905,4,1,1,0.42078296797247905,2.5232
Gerson Lehrman Group,0.42078296797247905,4,1,1,0.42078296797247905,2.5232
James Golden,0.42078296797247905,4,1,1,0.42078296797247905,2.5232
Angels + Founder,0.841473425800936,3,1,2,0.420736712900468,2.2784999999999997
Ken Lerer,1.261432665082665,8,2,3,0.420477555027555,6.1975999999999996
Blake Krikorian,1.2514050167658213,4,1,3,0.4171350055886071,3.5188
Chris Sacca,5.394136254642745,30,5,13,0.4149335580494419,18.9755
Bob Bozeman,0.41402201769199365,3,1,1,0.41402201769199365,3.0404
Michael Yang,0.41402201769199365,3,1,1,0.41402201769199365,2.2803
Rob Conway,0.41402201769199365,3,1,1,0.41402201769199365,3.0404
Saar Gur,1.239866656843009,7,1,3,0.41328888561433635,4.0173
Kevin Hartz,3.302504323749507,9,5,8,0.4128130404686884,8.4664
Salil Deshpande,1.2357694819674778,3,1,3,0.41192316065582596,2.3994
Ben Narasin,1.2357694819674778,3,1,3,0.41192316065582596,2.3994
Yuval Rakavy,0.41098972844558057,1,1,1,0.41098972844558057,0.8548
Aviv Raiz,0.41098972844558057,1,1,1,0.41098972844558057,0.8548
Auren Hoffman,2.0474733214101644,13,2,5,0.40949466428203285,10.4154
Venky Harinarayan,2.047174559442896,5,2,5,0.4094349118885792,3.7672
Joshua Baer,2.041979839902114,12,3,5,0.4083959679804228,7.4071
ZG Ventures,1.223312266086399,5,2,3,0.40777075536213303,7.5693
RAP Investments,0.810413301086883,4,1,2,0.4052066505434415,2.5904
City Light Capital,0.8097138246585611,3,1,2,0.40485691232928056,2.4855
Jonathan Miller,1.2130863022543323,6,2,3,0.40436210075144413,6.6147
Justin Yoshimura,0.8062951126174527,5,2,2,0.40314755630872634,3.6875999999999998
Ben Sun,0.803117919037142,4,1,2,0.401558959518571,2.986
CNET Networks,0.39880091750883884,4,1,1,0.39880091750883884,2.0364
Chris Dixon,7.173722604009307,23,7,18,0.39854014466718374,20.2265
Thomas Falks,0.3975898565318067,1,1,1,0.3975898565318067,0.8569
John Vincent,0.3975898565318067,1,1,1,0.3975898565318067,0.8569
Charles Moldow,1.579138701521747,11,2,4,0.39478467538043677,5.2369
Palo Alto Investors,0.3947099665727718,2,1,1,0.3947099665727718,2.0096
Elon Musk,1.5621164626344008,8,2,4,0.3905291156586002,8.1706
Zach Weinberg,1.561836886731377,3,1,4,0.39045922168284425,2.5941
Sebastien de Halleux,0.7782526026530192,3,1,2,0.3891263013265096,1.6949999999999998
Sam Shank,0.7782526026530192,3,1,2,0.3891263013265096,1.6949999999999998
Leon Recanati,0.38818419811402755,3,1,1,0.38818419811402755,3.7445
John Osher,0.38814420366749,1,1,1,0.38814420366749,0.4705
GE Energy Financial Services,1.1642554227274557,6,2,3,0.3880851409091519,5.891500000000001
GRP Partners,0.769779058086193,7,2,2,0.3848895290430965,5.0839
Tom Chiu,0.7695285351828395,10,2,2,0.38476426759141974,5.4746
George Crowley,0.38363936358050676,5,1,1,0.38363936358050676,2.5940000000000003
John Seely Brown,0.38363936358050676,5,1,1,0.38363936358050676,2.5940000000000003
John Borthwick,0.38363936358050676,5,1,1,0.38363936358050676,2.5940000000000003
Nirav Tolia,1.1449100282117073,3,1,3,0.3816366760705691,2.3295
The Challenge Funds,0.3809796499407546,1,1,1,0.3809796499407546,0.6904
Drobny Global Advisors,0.3809796499407546,1,1,1,0.3809796499407546,0.6904
David Sze,0.7606096308661405,2,1,2,0.38030481543307026,1.1282
David Gardner,0.37557763598592225,1,1,1,0.37557763598592225,1.7852999999999999
Thrive Capital,7.11035079306189,30,7,19,0.37422898910852054,22.5561
Howard Lindzon,3.7377184197906566,25,3,10,0.37377184197906566,18.224899999999998
Mark Goines,1.8658375979579314,5,1,5,0.3731675195915863,4.542
Michael Birch,4.836968648311492,16,5,13,0.37207451140857634,12.7402
EMC Ventures,0.37146119763240476,3,1,1,0.37146119763240476,2.6584999999999996
Investec,0.7411813573767037,3,1,2,0.3705906786883518,3.732
