funding_round_id,funded_object_id,investor_object_id,object_id,funded_at,funding_round_type,investor_name,company_name,category_code,category_norm,etf_primary,sector_name,confidence
43448,c:47218,f:4356,c:47218,2013-07-23,series-b,IA Ventures,Sulia,social,social,FDN,consumer_internet,0.7
43470,c:43523,f:217,c:43523,2009-05-05,series-a,Point Judith Capital,Nabsys,biotech,biotech,XBI,biotech,0.7
43470,c:43523,f:320,c:43523,2009-05-05,series-a,Slater Technology Fund,Nabsys,biotech,biotech,XBI,biotech,0.7
43472,c:156875,f:9116,c:156875,2010-01-01,series-a,Tice Capital,Ology Media,social,social,FDN,consumer_internet,0.7
43497,c:240698,f:443,c:240698,2012-12-19,series-a,DCM,Freee,enterprise,enterprise,IGV,saas,0.7
43498,c:240698,f:443,c:240698,2013-07-21,series-a,DCM,Freee,enterprise,enterprise,IGV,saas,0.7
43498,c:240698,f:1676,c:240698,2013-07-21,series-a,Infinity Venture Partners,Freee,enterprise,enterprise,IGV,saas,0.7
43574,c:240957,f:111,c:240957,2013-07-24,series-a,Atlas Venture,Harbour Antibodies,biotech,biotech,XBI,biotech,0.7
43589,c:240975,f:375,c:240975,2012-09-14,series-a,Greycroft Partners,Nimble TV,software,software,IGV,saas,0.7
43589,c:240975,f:1034,c:240975,2012-09-14,series-a,Tribeca Venture Partners,Nimble TV,software,software,IGV,saas,0.7
43589,c:240975,f:1533,c:240975,2012-09-14,series-a,Tribune Strategic Investments,Nimble TV,software,software,IGV,saas,0.7
43600,c:240329,f:12747,c:240329,2011-11-28,series-a,Envy Capital,iRule,software,software,IGV,saas,0.7
43600,c:240329,f:12748,c:240329,2011-11-28,series-a,CPoWeR Ventures,iRule,software,software,IGV,saas,0.7
43614,c:163900,f:9817,c:163900,2013-07-24,series-a,Rogers Venture Partners,Addvocate,enterprise,enterprise,IGV,saas,0.7
43631,c:196638,f:243,c:196638,2013-07-24,series-a,North Bridge Venture Partners,Zettics,software,software,IGV,saas,0.7
43631,c:196638,f:851,c:196638,2013-07-24,series-a,Voyager Capital,Zettics,software,software,IGV,saas,0.7
43631,c:196638,f:519,c:196638,2013-07-24,series-a,Steamboat Ventures,Zettics,software,software,IGV,saas,0.7
43631,c:196638,f:174,c:196638,2013-07-24,series-a,Emergence Capital Partners,Zettics,software,software,IGV,saas,0.7
43784,c:208380,f:6230,c:208380,2013-03-01,series-a,Plug & Play Ventures,Muzzley,software,software,IGV,saas,0.7
43793,c:42654,f:96,c:42654,2013-07-25,series-a,Baseline Ventures,Librato,software,software,IGV,saas,0.7
43793,c:42654,f:1496,c:42654,2013-07-25,series-a,Harrison Metal Capital,Librato,software,software,IGV,saas,0.7
43793,c:42654,f:9543,c:42654,2013-07-25,series-a,Cowboy Ventures,Librato,software,software,IGV,saas,0.7
43831,c:241656,f:801,c:241656,2013-07-26,series-b,IDG Capital Partners,Baifendian,software,software,IGV,saas,0.7
43831,c:241656,f:12784,c:241656,2013-07-26,series-b,East Sky Investment,Baifendian,software,software,IGV,saas,0.7
43833,c:241656,f:801,c:241656,2011-07-01,series-a,IDG Capital Partners,Baifendian,software,software,IGV,saas,0.7
43833,c:241656,f:12783,c:241656,2011-07-01,series-a,Mingxin China Growth Fund,Baifendian,software,software,IGV,saas,0.7
43885,c:239119,f:17,c:239119,2012-01-01,series-a,Sequoia Capital,indeni,enterprise,enterprise,IGV,saas,0.7
43909,c:51350,f:7075,c:51350,2009-10-02,series-a,Osage University Partners,Corridor Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
43909,c:51350,f:12225,c:51350,2009-10-02,series-a,Quaker Partners,Corridor Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
43909,c:51350,f:2297,c:51350,2009-10-02,series-a,MedImmune Ventures,Corridor Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
43909,c:51350,f:2646,c:51350,2009-10-02,series-a,Red Abbey Venture Partners,Corridor Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
43910,c:33862,f:7075,c:33862,2008-07-31,series-a,Osage University Partners,Kolltan Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
43910,c:33862,f:1974,c:33862,2008-07-31,series-a,HBM BioVentures,Kolltan Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
43910,c:33862,f:4744,c:33862,2008-07-31,series-a,Tichenor Ventures,Kolltan Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
43923,c:189021,f:225,c:189021,2013-07-26,series-a,Maverick Capital,Zenefits,enterprise,enterprise,IGV,saas,0.7
43923,c:189021,f:191,c:189021,2013-07-26,series-a,Venrock,Zenefits,enterprise,enterprise,IGV,saas,0.7
43933,c:242279,f:66,c:242279,2013-07-25,series-a,Khosla Ventures,TightDB,software,software,IGV,saas,0.7
43944,c:186077,f:4760,c:186077,2013-07-24,series-a,NewSchools Venture Fund,Ellevation,software,software,IGV,saas,0.7
43944,c:186077,f:9962,c:186077,2013-07-24,series-a,Rethink Education,Ellevation,software,software,IGV,saas,0.7
44055,c:183991,f:12,c:183991,2013-07-29,series-a,Austin Ventures,TrueAbility,enterprise,enterprise,IGV,saas,0.7
44055,c:183991,f:9538,c:183991,2013-07-29,series-a,Cloud Power Capital,TrueAbility,enterprise,enterprise,IGV,saas,0.7
44085,c:214529,f:89,c:214529,2013-07-15,series-a,Madrona Venture Group,Union Bay Networks,software,software,IGV,saas,0.7
44085,c:214529,f:1,c:214529,2013-07-15,series-a,Greylock Partners,Union Bay Networks,software,software,IGV,saas,0.7
44085,c:214529,f:812,c:214529,2013-07-15,series-a,Divergent Ventures,Union Bay Networks,software,software,IGV,saas,0.7
44202,c:221943,f:316,c:221943,2013-07-30,series-b,New Enterprise Associates,Edimer Pharmaceuticals,biotech,biotech,XBI,biotech,0.7
44211,c:174092,f:1489,c:174092,2013-07-30,series-b,Boston Harbor Angels,Sialix,biotech,biotech,XBI,biotech,0.7
44211,c:174092,f:3755,c:174092,2013-07-30,series-b,Mass Medical Angels,Sialix,biotech,biotech,XBI,biotech,0.7
44211,c:174092,f:12846,c:174092,2013-07-30,series-b,Launchpad Angels,Sialix,biotech,biotech,XBI,biotech,0.7
44211,c:174092,f:4050,c:174092,2013-07-30,series-b,Maine Angels,Sialix,biotech,biotech,XBI,biotech,0.7
44212,c:57948,f:477,c:57948,2013-07-30,series-a,Flywheel Ventures,Digabit,software,software,IGV,saas,0.7
44212,c:57948,f:57,c:57948,2013-07-30,series-a,High Country Venture,Digabit,software,software,IGV,saas,0.7
44230,c:243223,f:378,c:243223,2013-07-30,series-a,.406 Ventures,Pwnie Express,software,software,IGV,saas,0.7
44230,c:243223,f:380,c:243223,2013-07-30,series-a,Fairhaven Capital Partners,Pwnie Express,software,software,IGV,saas,0.7
44230,c:243223,f:6266,c:243223,2013-07-30,series-a,Vermont Seed Capital Fund,Pwnie Express,software,software,IGV,saas,0.7
44238,c:243295,f:8322,c:243295,2013-07-19,series-b,MaRS Investment Accelerator Fund,ExactFlat,software,software,IGV,saas,0.7
44258,c:51663,f:7527,c:51663,2010-08-30,series-a,Webb Investment Network,Badgeville,enterprise,enterprise,IGV,saas,0.7
44292,c:217659,f:7304,c:217659,2013-07-31,series-b,PLUS Ventures,LATTO,enterprise,enterprise,IGV,saas,0.7
44321,c:160612,f:711,c:160612,2013-08-02,series-a,Cedar Fund,Datorama,software,software,IGV,saas,0.7
44321,c:160612,f:5793,c:160612,2013-08-02,series-a,Innovation Endeavors,Datorama,software,software,IGV,saas,0.7
44342,c:243716,f:111,c:243716,2013-07-31,series-a,Atlas Venture,Signal Data,finance,finance,XLF,fintech,0.7
44352,c:60796,f:8875,c:60796,2013-07-31,series-b,Foresite Capital,Karyopharm Therapeutics,biotech,biotech,XBI,biotech,0.7
44352,c:60796,f:2141,c:60796,2013-07-31,series-b,New Leaf Venture Partners,Karyopharm Therapeutics,biotech,biotech,XBI,biotech,0.7
