investor,community_id
Azure Capital Partners,0
Max Levchin,22
Mike Hirshland,22
Oliver Jung,22
Liberty Associated Partners,13
Peter Stern,3
T. Trent Gegax,3
Silicon Valley Bank,4
.406 Ventures,13
Dave McClure,13
Formative Ventures,13
Marc Benioff,3
Rose Tech Ventures,13
The Accelerator Group,13
Hite Capital,13
OpenView Venture Partners,34
Contour Venture Partners,85
Chris Burch,13
David Tisch,4
TrilogyGrowth,13
Altos Ventures,18
Partech Ventures,29
Angus Davis,13
EDB Investments,0
IDG Ventures,13
Bullpen Capital,4
Plough Penny Partners,13
Promus Ventures,13
Visa,5
Collaborative Fund,3
The Tornante Company,3
New Leaf Venture Partners,38
Band of Angels,13
Goldman Sachs,2
Troy Carter,3
Jeff Kearl,13
MK Capital,13
Naval Ravikant,13
Tom McInerney,85
BLH Venture Partners,17
Bear Creek Capital,17
Kaszek Ventures,23
North Hill Ventures,23
Victory Park Capital,10
GRP Partners,5
Lighthouse Capital Partners,5
Chris Michel,34
SK Ventures,4
Liberty Global Ventures,4
Costanoa Venture Capital,13
David Cohen,4
Freestyle Capital,4
Energy Technology Ventures,4
Morgan Stanley Alternative Investment Partners,4
Individual Investors,40
T-Venture,40
Golden Venture Partners,13
Vanguard Ventures,85
Mark Leslie,5
Peter Wagner,5
Pitango Venture Capital,5
Lehman Brothers,28
Allen Morgan,85
Auren Hoffman,85
Bobby Yazdani,85
Jason Finger,85
KPCB Holdings,85
Lucid Ventures,85
Paige Craig,85
ff Venture Capital,85
Forerunner Ventures,4
Ooga Labs,34
Audax Ventures,85
CMGI @Ventures,85
TransCosmos,13
JK&B Capital,13
Masthead Venture Partners,13
Amadeus Capital Partners,13
Joanne Wilson,13
MENA Venture Investments,13
Mohamed Nanabhay,13
Neoteny Labs,13
OÂReilly AlphaTech Ventures,13
Two Sigma Ventures,13
VegasTechFund,13
High Country Venture,4
Jove Equity Partners,4
Nancy Pierce,4
Walt Winshall,4
Neusoft Group,13
QiMing Venture Partners,28
Erik Blachford,22
Gary Parsons,13
Adams Street Partners,28
KPG Ventures,85
Kenny Van Zant,4
Salesforce,85
Social Leverage,4
Digicel,23
SVG Partners,23
Storm Ventures,23
Verizon Ventures,13
Anand Rajaraman,13
Rakesh Mathur,13
Venky Harinarayan,13
Draper Associates,36
Dundee Venture Capital,37
Georges Harik,2
Richard Yoo,13
DG Incubation,13
Hummer Winblad Venture Partners,13
Endeavor Partners,34
Fenwick & West,34
Divergent Ventures,13
Swisscom Ventures,13
EspÃ­Â­rito Santo Ventures,17
Milcom Ventures Partners,17
TDF Fund (Telecommunications Development Fund),17
Telecommunications Development Fund,17
Hearst Ventures,13
Guggenheim Venture Partners,13
Accelerator Ventures,13
VantagePoint Capital Partners,23
Golden Seeds,36
Osage Venture Partners,2
Domain Associates,28
RONAholdings,2
Rona Syndicates,2
Samsung Ventures,4
Granite Ventures,2
Walden International,2
Claremont Creek Ventures,2
British Gas,23
Good Energies,23
SET Venture Partners,23
NBC Universal,5
Aeris Capital,28
Latterell Venture Partners,28
AT&T,23
Navteq,23
Red Rock Ventures,23
TPG Growth,3
Merck Serono Ventures,3
Bluescape,3
Michael Polsky,3
Stephens Capital Partners,3
The Westly Group,2
ARTIS Ventures,5
Crescendo Ventures,5
Gold Hill Capital,5
SkyMoon Ventures,5
ZenShin Capital,5
Advanced Equities,2
Angeleno Group,2
Cyrus Capital Partners,2
Nimes Capital,2
Citigroup,3
Focus Ventures,34
Pequot Capital,2
TechOperators,17
Montgomery & Co,3
Pritzker Group Venture Capital,0
A123 Systems,3
Ace Investments,3
Bill Gates,29
Casdin Capital,38
Deerfield Management,38
