investor,community_id
Keren Hagshama,23
Infinity Venture Partners,4
BaseVC,4
SOS Ventures,4
Tony Hsieh,4
Vegas Tech Fund,4
SOSventures,4
AmorÃ§age RhÃ´ne Alpes,95
Naef Gestion Internationale,95
Script Capital,95
Rhone-Alpes Creation,95
Bruno Bowden,34
Fritz Demopoulos,34
Sam Shank,34
Sebastien de Halleux,34
3x5 Special Opportunity Partners,13
LGiLab,5
Leon Recanati,5
George Crowley,13
John Borthwick,13
John Seely Brown,13
NStar,2
Baker Capital,13
Bill Randuchel,3
Chris Kelly,3
Claudio Chiuchiarelli,3
Don Dodge,3
Fadi Ghandour,3
John Couch,3
Joi Ito,3
Josh Spear,3
Matt Cohler,3
Maurice Werdegar,3
Paul Buchheit,3
Ruchi Sanghvi,3
Sam Lessin,3
Steve Anderson,3
Tilocor Life Science,40
Kevin Hartz,34
Sarofim Fayez and Co.,34
Thorner Ventures,34
Charlie Federman,5
Ilan Kaufthal,5
Michael Loeb,5
Yuval Tal,5
Lupus Ventures,96
Biox Biosciences,96
PPM Oost,96
Technofund Flevoland,96
Wageningen Business Generator,96
Eric Semle,10
Bill Harris,17
Westwood Ventures,5
Aurinvest,1
Truffle Capital,1
Canaccord Adams,6
Evolution Securities Limited,6
Mirabaud Securities LLP,6
Morgan Stanley & Co. International plc,6
LAGbook Capital,7
UFA Enterprises,7
Jack Abraham,13
Atrium Venture Partners,2
Honda Motor Company,2
Arts Alliance Media,29
Arts Alliance Ventures,29
LongAcre Partners,29
Bullion International,29
Stonebridge Capital,17
Paul Posner,18
Compass Genetics Investors,29
Noble Fund Managers,29
David Ulevitch,13
MkII Ventures,13
Pacific Partners,13
SeriesG,13
Owen Van Natta,13
SociÃ©tÃ© RÃ©gionale d'Investissement de Wallonie,29
QIC BioVentures,2
Glenn Winokur,13
Big Bang Ventures,29
DFJ JAIC,2
Open Innovation Ventures,2
Societe Generale,2
VeraSun Energy,18
HomeAdvisor,4
Revolution Ventures,38
Leonard Lodish,38
Themis Computer,51
Airtek Capital Group,51
Mitsubishi UFJ Capital,34
Nikko Antfactory,34
Orix Capital Corporation,34
Signal Lake,85
Connecticut Innovations,85
dsskjfmt,85
Huntington Capital,8
Riverlake Partners,8
Peter Rip,2
Steve Hall,2
Gurbaksh Chahal,4
VIMAC Milestone Medical Fund,3
James Hong,2
Ron Zuckerman,34
Smac Partners,2
CIM Fund,10
Megunticook Management,34
YankeeTek Ventures,34
RFA Management Company,9
RFT Investment Company,9
Bob Lisbonne,34
Debi Coleman,38
Christian Vollmann,34
Joachim Schoss,34
Martin Sinner,34
Rolf Christof Dienst,34
Simon Levene,34
Ulrich Essmann,34
Alexander Gage,10
Harold Ickes,10
Active Venture Partners,74
Seaya Ventures,74
Eghosa Omoigui,19
Global Brain Corporation,4
Mark Schulze,19
Mindful Investors,19
Build-A-Bear Workshop,11
Norm Pozez,11
Persistence Partners,36
DLA Piper,5
MF Capital,5
Bill Campbell,13
Lightspeed China Partners,5
SCP Worldwide,10
Jason Classon,22
Michael Eisner,18
TELUS,18
Novacap Investments,85
Flint Hills Resources,28
Finistere Ventures,28
Life Technologies,28
Ysios Capital,38
SevenVentures,40
Schroder Ventures,2
RAP Investments,13
Fastlane Ventures,85
Innogest,12
Innogest Capital,12
Rho Ventures,12
Michael Bronner,13
Inventures Group,29
Angel Investment Partners,0
Meakem Becker Venture Capital,13
Rogers Ventures,0
Craig Sherman,34
MaRS Investment Accelerator Fund,18
Ontario Centres of Excellence,18
Quester Capital,13
JumpStart,13
Ariel Poler,23
Dan Gillmor,3
Jeff Pulver,3
Michael Arrington,3
Steve Garfield,3
Scott Petry,4
Tom Keller,4
KH Growth Equity,10
Drobny Global Advisors,17
The Challenge Funds,17
Beringea Private Equity,14
Northstar Ventures,14
The North West Fund,14
North Star Equity Investment Partners,14
Alex Edelstein,2
Queen City Angels,2
"Nashville Capital Network, Investment Arm",3
And other angel investors,10
Dennis Bemmann,10
Michael Brehm,10
Brandon Capital Partners,15
Playford Capital,15
Terra Rossa Capital,15
SilkRoad Equity,0
Brook Ventures,22
PAR Capital,22
Docor International Management,16
Lord David Alliance,16
Moshe Lichtman,16
Liron Rose,16
Omer Kaplan,16
Yossi Vardi,16
Andre Haddad,3
Eilon Tirosh,3
Embarcadero Ventures,3
Lorrie Norrington,3
Marty Pejko,3
Rami Lipman,3
Roy Barr,3
Guy Kawasaki,2
Dan Ratner,0
Neoteny,10
NESTA Investments,40
Sussex Place Ventures,40
La FinanciÃÂ¨re de Brienne,29
Data Point Capital,20
Jonathan Kraft,20
Lon Chow,20
Romulus Capital,20
"lessin X2, llc",10
Jonathan Gay,38
Rob Burgiss,38
Brian McClendon,13
Russell Siegelman,2
David Wu,5
fbFund,18
IDEA Fund Partners,85
Outcome Capital,85
Julian Ranger,21
Gordon Bell,21
Marco Sodi,21
Dan Gilbert,24
Detroit Venture Partners,24
IncWell,24
FreshTracks Capital,25
TSG Equity Partners,25
Dry Canyon Holdings,36
Bohemian Investments,26
Bohemian Venture,26
I2BF Venture Capital,26
Infield Capital,26
Shanghai Alliance,26
Southern Ute,26
Valero Energy,26
"SpafinderÂ® Wellness, Inc.",36
RSH Ventures,34
Innoven Partners,29
Cervin Ventures,2
TiE Silicon Valley Angels,2
Global Venture Capital,38
Andrew Rasiej,5
Greg Yaitanes,13
Marissa Mayer,5
Robin Chan,5
Zachary Bogue,5
Micah Siegel,13
Nirav Tolia,13
"Consigliere Brand Capital, LLC",13
Doug Lebda,13
Greener Capital,2
Alan Warms,4
Bill Bishop,4
Eric Bolling,4
Debaeque,44
RezVen Partners,40
RTL Group,40
Klaus Hommels,23
Shortcut Ventures GmbH,23
b-to-v Partners AG,23
Gregory Avis,2
Parker Weil,2
CommerceNet,5
Eytan Elbaz,10
Gil Elbaz,10
Jeff Stibel,10
Mike Walsh,10
MuckerLab,10
Rick Caruso,10
David Mahoney,2
Vince Vannelli,2
Winton Partners,2
Alex Welch,38
Jordan Greenhall,38
Shawn Hardin,38
Andrew Thornton,34
Richard Brennan,34
Anton Commissaris,3
Emil Michael,3
Lee Hower,3
Jumpstart New Jersey Angel Network,27
NJTC Venture Fund,27
Karnataka Information Technology Venture Capital Fund,5
HDFC Holdings,5
Polaris Software Lab,5
Chausson Finance,29
University License Equity Holdings,28
Bill Tai,18
John Hime,5
Kevin Cunningham,5
Mike Turner,5
Barry Silbert,13
David Rosenblatt,13
David S. Kidder,13
Ed Zander,13
Jeremy Arnon,13
Mike Yavonditte,13
Mikkel Eriksen,13
Mikkel Sandvik,13
Nihal Mehta,13
Paul Olliver,13
Quotidian Ventures,13
Robert Johnston,13
Scott Switzer,13
Spring Capital Partners,13
Lisa Gansky,3
Guggenheim Partners,13
Jeff Lunsford,18
John Vincent,18
Thomas Falks,18
Alice Ventures,30
ProSeed Venture Capital Fund,30
Dick Costolo,13
Jeff Jordan,5
Emerald Technology Ventures,3
Howard Morgan,13
Salman Ullah,13
Sean Park,13
J Allard,2
Gerry Laybourne,18
John Landry,18
Oxygen Media,18
Alef Arendsen,18
Melkwit BV,18
Ritsaart van Montfrans,18
Stichting DOEN,18
BCE Capital,18
L&P Investments,32
Clevedon Pastoral Holdings,32
Excelsior Asset Mgt LLC,32
Joinwell Finance,32
Michael McCoy,32
Millwater Investments Limited,32
"Nicholl, Rupert",32
Rick Holliday-Smith,32
The McKay Trust,32
McKay Trust,32
Saratoga Ventures,2
Bert Ellis,18
Herb Madan,18
Randall Kaplan,18
PacVen Walden Ventures,2
Rob Solomon,34
Anthony Casalena,3
Kirlan Venture Capital,18
Jawed Karim,5
Roelof Botha,5
Tony Bates,5
Hopen Therapeutics,38
Sienna Equity Partners,85
Wallington Investments,10
Anduin Capital,18
Eric Chen,18
Peter Boboff,18
Riaz Valani,18
Raymond D. Croghan,36
Midroc New Technology,29
Volvo Group Venture Capital,29
Joe Proto,2
The Southern Appalachian Fund,33
Solidus Company,33
Stanford Management,2
New Mexico Community Capital,36
Tuputele Ventures,34
Rakesh Loonkar,10
Knight's Bridge Capital Partners,2
Fred Seibert,13
Alex Karakozoff,18
Frontier Management Group,13
Alfred Lin,3
Jeff Jarvis,10
Dragonvest Partners,35
JAIC America,35
Pac-Link,35
Ammer!Partners,34
Carrington Equity,34
Geitner Investment,34
Grazia Equity,34
Morten Lund,34
David Gardner,5
Elliot Ng,5
Pete Grillo,22
Alex Hoye,13
David Shen Ventures,13
Chris Yeh,34
Robert Winter,34
Atiq Raza,17
Bill Carillo,19
Fortis,19
Generis Capital Partners,40
Piton Capital,40
David Goldberg,13
Jonathan Heiliger,13
Rajesh Sawhney,13
The Raine Group,13
Artiman Ventures,5
Spansion,5
Blue Lagoon Capital,17
TDFunds,17
Turner Broadcasting,0
Errol Damelin,23
Florian Otto,23
Gordon Rubenstein,23
Greg Waldorf,23
Micky Malka,23
Shaun Di Gregorio,23
Wences Casares,23
IDG Ventures India,39
Epiphany Ventures,39
Bill Gurley,3
David Sze,3
Roger Evans,3
Brian Altounian,43
Alliance Acquisitions,43
Brent Hoberman,19
Stefan Glaenzer,34
Tony Cohen,34
Wolf Hengst,34
Andy Rachleff,13
Bruce Dunlevie,13
Allegiance Capital,13
Spectrum Equity,13
Joe Greenstein,5
American River Ventures,28
Mike Olson,10
The Argentum Group,0
ID Capital,85
Pittsburgh Equity Partners,2
Janpieter Scheerder,0
Qiagen,28
Nationwide Mutual Capital,0
Initiative Capital,40
Saar Gur,23
Tom Pinckney,23
Ben Sun,13
Ed Sim,13
Changyou Fund,3
Zhi Tan,3
Columbus Venture Capital,46
Reinet Fund,46
SVASE/Cambridge West Ventures,0
Farallon Capital Management,22
Erik Moore,2
LundKenner Ventures,34
Boekhoorn M&A,34
Marcel Boekhoorn,34
Willem Willemstein,34
Amplifier Venture Partners,4
Trellis Partners,34
Dan Scheinman,18
Michael Everett,18
Subrah Iyar,18
SugarOak,47
White Birch Capital,47
NSV,23
Cabiedes & Partners,74
Clarium Capital,13
BioGeneration Ventures,29
Thuja Capital,29
White Star Capital,13
Existing Investors,22
Mike Galgon,22
DivX,18
Lowland Capital Partners,2
Chemi Peres,38
Ofer Adler,38
Yaron Adler,38
Yuval Rechavi,38
First Avenue Partners,23
Saad Investments Company,28
Gunderson Dettmer,2
Providence Equity Partners,49
The Walt Disney Company,49
Cronus Ventures,22
Warehouse Investimentos,59
Movile,59
Vinod Khosla,0
Dr. Rafi Gidron,63
Rafi Gridron,63
ATEL Ventures,3
Biogen Idec,3
Information Technology Ventures,5
Jerry Kaplan,5
CPoWeR Ventures,24
Compuware,24
Compuware Ventures,24
Envy Capital,24
Lis Ventures,24
Junos Innovation Fund,17
Microsoft,17
SVB India Capital Partners,19
Various Angels,2
Rose Park Advisors,2
John Hunt,19
Marc Simoncini,19
Angels + Founder,10
Leonardo DiCaprio,64
Kenges Rakishev,64
Serena Williams,64
Tobey Maguire,64
Francesco Micheli Associati,91
Paolo Barberis,91
iFund,34
David Magliano,3
Boston Seed Capital,34
PICO,34
Paul Pluschkell,34
Atrapalo,74
Jaime Diaz,74
Jose Manuel Martinez Sanchez,74
Eric Stein,4
