eval_date,investor,tps,in_top_tier,audit_hash
2005-12-31,Accede Capital,0.16181402540042333,False,58e8b40a1e5832d2
2005-12-31,Deutsche Bank,0.16181402540042333,False,58e8b40a1e5832d2
2005-12-31,Starfish Ventures,0.16181402540042333,False,58e8b40a1e5832d2
2005-12-31,UPS Strategic Enterprise Fund,0.16181402540042333,False,58e8b40a1e5832d2
2005-12-31,Acartha Group,0.16141497668665966,False,58e8b40a1e5832d2
2005-12-31,Outlook Ventures,0.16141497668665966,False,58e8b40a1e5832d2
2005-12-31,Altos Ventures,0.16036150793212928,False,58e8b40a1e5832d2
2005-12-31,Mission Ventures,0.15787554414480254,False,58e8b40a1e5832d2
2005-12-31,Norwest Venture Partners,0.15532259472563,False,58e8b40a1e5832d2
2005-12-31,OVP Venture Partners,0.14968863654737202,True,58e8b40a1e5832d2
2005-12-31,Lupus Ventures,0.13983488503877708,False,58e8b40a1e5832d2
2005-12-31,PPM Oost,0.13983488503877708,False,58e8b40a1e5832d2
2005-12-31,Technofund Flevoland,0.13983488503877708,False,58e8b40a1e5832d2
2005-12-31,Wageningen Business Generator,0.13983488503877708,False,58e8b40a1e5832d2
2005-12-31,Pequot Capital,0.13713389303599105,False,58e8b40a1e5832d2
2005-12-31,Authosis Ventures,0.13521953846945384,False,58e8b40a1e5832d2
2005-12-31,Constantin Partners,0.13521953846945384,False,58e8b40a1e5832d2
2005-12-31,John Dean,0.13521953846945384,False,58e8b40a1e5832d2
2005-12-31,Harris & Harris Group,0.13356015693812723,False,58e8b40a1e5832d2
2005-12-31,RTI International,0.13356015693812723,False,58e8b40a1e5832d2
2005-12-31,The Aurora Funds,0.13356015693812723,False,58e8b40a1e5832d2
2005-12-31,Vista Ventures,0.1303699925511635,False,58e8b40a1e5832d2
2005-12-31,Aviv Raiz,0.1262140592275525,False,58e8b40a1e5832d2
2005-12-31,Yuval Rakavy,0.1262140592275525,False,58e8b40a1e5832d2
2005-12-31,BlueRun Ventures,0.12178600362952338,True,58e8b40a1e5832d2
2005-12-31,Cardinal Venture Capital,0.1215532296464847,True,58e8b40a1e5832d2
2005-12-31,Business Development Bank of Canada,0.11313858624635316,False,58e8b40a1e5832d2
2005-12-31,MDS Capital,0.11313858624635316,False,58e8b40a1e5832d2
2005-12-31,Storm Ventures,0.1084624185609966,False,58e8b40a1e5832d2
2005-12-31,Outaouais Regional Solidarity Fund,0.10396079998862003,False,58e8b40a1e5832d2
2005-12-31,Hummer Winblad Venture Partners,0.10291033117700636,False,58e8b40a1e5832d2
2005-12-31,Bay Partners,0.10185916807133037,False,58e8b40a1e5832d2
2005-12-31,DFJ Esprit,0.10126565521615108,True,58e8b40a1e5832d2
2005-12-31,ARCH Venture Partners,0.09829129491460659,True,58e8b40a1e5832d2
2005-12-31,Chess Ventures,0.09672791735748297,False,58e8b40a1e5832d2
2005-12-31,Appian Ventures,0.09488661220006758,False,58e8b40a1e5832d2
2005-12-31,OCA Ventures,0.09488661220006758,False,58e8b40a1e5832d2
2005-12-31,Pritzker Group Venture Capital,0.09488661220006758,False,58e8b40a1e5832d2
2005-12-31,GrowthWorks Capital,0.09090144645830572,False,58e8b40a1e5832d2
2005-12-31,Gemini Israel ventures,0.08833273939965744,False,58e8b40a1e5832d2
2005-12-31,Allegis Capital,0.08103126166522202,False,58e8b40a1e5832d2
2005-12-31,RedShift Ventures,0.07466267974201159,True,58e8b40a1e5832d2
2005-12-31,Canadian Medical Discoveries Fund,0.06866430667025829,False,58e8b40a1e5832d2
2005-12-31,Novak Biddle Venture Partners,0.06297349077393055,True,58e8b40a1e5832d2
2005-12-31,Innovatech,0.05198039999431001,False,58e8b40a1e5832d2
2005-12-31,Carmel Ventures,0.04416636969982872,False,58e8b40a1e5832d2
2005-12-31,SilkRoad Equity,0.04285123176438202,False,58e8b40a1e5832d2
2006-03-31,Skyline Ventures,2.094439695234545,False,b704c3ee8ee7e578
2006-03-31,Red Hat,2.021186423715454,False,b704c3ee8ee7e578
2006-03-31,Cardinal Partners,1.8550890517667282,True,b704c3ee8ee7e578
2006-03-31,Wellcome Trust,1.8550890517667282,True,b704c3ee8ee7e578
2006-03-31,iOCS Corporation,1.5783476153618146,False,b704c3ee8ee7e578
2006-03-31,China Development Industrial Bank (CDIB),1.539453144854157,False,b704c3ee8ee7e578
2006-03-31,Essex Woodlands Health Ventures,1.539453144854157,False,b704c3ee8ee7e578
2006-03-31,Larkspur Capital Corporation,1.539453144854157,False,b704c3ee8ee7e578
2006-03-31,New Science Ventures,1.539453144854157,False,b704c3ee8ee7e578
2006-03-31,Novo A/S,1.539453144854157,False,b704c3ee8ee7e578
2006-03-31,SLS Venture,1.539453144854157,False,b704c3ee8ee7e578
